GrandPrix,Driver,LapNumber,Compound,TyreLife,TrackTemp,LapTime_Seconds
Bahrain,NOR,29.0,HARD,16.0,23.652866242038222,97.041
Bahrain,NOR,30.0,HARD,17.0,23.652866242038222,96.986
Bahrain,NOR,31.0,HARD,18.0,23.652866242038222,97.083
Bahrain,NOR,32.0,HARD,19.0,23.652866242038222,97.171
Bahrain,NOR,33.0,HARD,20.0,23.652866242038222,99.626
Bahrain,NOR,34.0,HARD,1.0,23.652866242038222,116.898
Bahrain,NOR,35.0,HARD,2.0,23.652866242038222,94.476
Bahrain,NOR,36.0,HARD,3.0,23.652866242038222,95.69
Bahrain,NOR,37.0,HARD,4.0,23.652866242038222,95.067
Bahrain,NOR,38.0,HARD,5.0,23.652866242038222,95.149
Bahrain,NOR,39.0,HARD,6.0,23.652866242038222,94.88
Bahrain,NOR,40.0,HARD,7.0,23.652866242038222,95.276
Bahrain,NOR,41.0,HARD,8.0,23.652866242038222,95.069
Bahrain,NOR,42.0,HARD,9.0,23.652866242038222,95.165
Bahrain,NOR,43.0,HARD,10.0,23.652866242038222,95.295
Bahrain,NOR,44.0,HARD,11.0,23.652866242038222,95.346
Bahrain,NOR,45.0,HARD,12.0,23.652866242038222,95.338
Bahrain,NOR,46.0,HARD,13.0,23.652866242038222,95.371
Bahrain,NOR,47.0,HARD,14.0,23.652866242038222,95.485
Bahrain,NOR,48.0,HARD,15.0,23.652866242038222,95.717
Bahrain,NOR,49.0,HARD,16.0,23.652866242038222,95.674
Bahrain,NOR,50.0,HARD,17.0,23.652866242038222,95.657
Bahrain,NOR,51.0,HARD,18.0,23.652866242038222,96.038
Bahrain,NOR,52.0,HARD,19.0,23.652866242038222,95.922
Bahrain,NOR,53.0,HARD,20.0,23.652866242038222,95.782
Bahrain,NOR,54.0,HARD,21.0,23.652866242038222,95.934
Bahrain,NOR,55.0,HARD,22.0,23.652866242038222,96.223
Bahrain,NOR,56.0,HARD,23.0,23.652866242038222,95.976
Bahrain,NOR,57.0,HARD,24.0,23.652866242038222,96.582
Bahrain,HAM,2.0,SOFT,5.0,23.652866242038222,98.273
Bahrain,HAM,3.0,SOFT,6.0,23.652866242038222,98.303
Bahrain,HAM,4.0,SOFT,7.0,23.652866242038222,98.287
Bahrain,HAM,5.0,SOFT,8.0,23.652866242038222,98.35
Bahrain,HAM,6.0,SOFT,9.0,23.652866242038222,98.183
Bahrain,HAM,7.0,SOFT,10.0,23.652866242038222,97.839
Bahrain,HAM,8.0,SOFT,11.0,23.652866242038222,98.221
Bahrain,HAM,9.0,SOFT,12.0,23.652866242038222,98.645
Bahrain,HAM,11.0,SOFT,14.0,23.652866242038222,98.236
Bahrain,HAM,12.0,SOFT,15.0,23.652866242038222,100.889
Bahrain,HAM,13.0,HARD,1.0,23.652866242038222,118.645
Bahrain,HAM,14.0,HARD,2.0,23.652866242038222,97.178
Bahrain,HAM,15.0,HARD,3.0,23.652866242038222,97.264
Bahrain,HAM,16.0,HARD,4.0,23.652866242038222,97.091
Bahrain,HAM,17.0,HARD,5.0,23.652866242038222,97.111
Bahrain,HAM,18.0,HARD,6.0,23.652866242038222,96.85
Bahrain,HAM,19.0,HARD,7.0,23.652866242038222,96.694
Bahrain,HAM,20.0,HARD,8.0,23.652866242038222,96.264
Bahrain,HAM,21.0,HARD,9.0,23.652866242038222,96.51
Bahrain,HAM,22.0,HARD,10.0,23.652866242038222,96.633
Bahrain,HAM,23.0,HARD,11.0,23.652866242038222,96.717
Bahrain,HAM,24.0,HARD,12.0,23.652866242038222,96.666
Bahrain,HAM,25.0,HARD,13.0,23.652866242038222,96.919
Bahrain,HAM,26.0,HARD,14.0,23.652866242038222,96.714
Bahrain,HAM,27.0,HARD,15.0,23.652866242038222,97.201
Bahrain,HAM,28.0,HARD,16.0,23.652866242038222,96.692
Bahrain,HAM,29.0,HARD,17.0,23.652866242038222,96.786
